Story Heading,Story Excerpt,Section,Date,Source
$17m raised as Australia reels from bushfires,East coast seaside towns plunge into darkness as ash rains down on rural communities.,Newspaper,6-1-2020,all
Chaudhrys coax Fazl into rethinking stand on key bills,JUI-F chief says party has yet to make a decision on voting against the bills or abstaining from the process altogether.,Pakistan,6-1-2020,all
17m children vulnerable to worm infection: survey,Out of 17 million children 4.6 million are in need of annual treatment in Karachi alone.,Pakistan,6-1-2020,all
Consumers to pay for power losses under fresh proposal,Govt set to recover additional cost of losses by imposing new surcharges aimed at financing power sector loans.,Newspaper,6-1-2020,all
Pakistan rules out use of its soil in Middle East conflict,FM reiterates Pakistan's willingness to play a role in maintaining regional peace during call with counterparts.,Newspaper,6-1-2020,all
PCB insists Naseem Shah was not pulled out of U-19 World Cup squad over age issue,Sources earlier said PCB's decision to drop Naseem from junior squad was most likely to avoid controversy over his age.,Sport,7-1-2020,all
Schools in KP Punjab to remain shut as country braces for another winter spell,According to the PMD drop in mercury is a direct affect of a rain spell ending tomorrow.,Pakistan,7-1-2020,all
Former judge Fakhruddin G. Ebrahim passes away in Karachi at 91,Ebrahim was an eminent Pakistani jurist constitutional expert and former chief election commissioner.,Pakistan,8-1-2020,all
Indian model Sonam Bajwa says she's the biggest Sajal Aly fan,Can relate.,Pakistan,7-1-2020,all
PAF plane on routine training mission crashes near Mianwali; 2 pilots martyred,A board of inquiry has been ordered at the Air Headquarters to determine the cause of the accident.,Pakistan,12-2-2020,all
Mehwish Hayat claps back at Aamir Liaquat for calling her an 'item girl',Luckily Hayat is not one to grin and bear.,Pakistan,7-1-2020,all
Govt all praise for opposition as key military bills sail through lower house,"PM's aide salutes all opposition parties particularly the PPP ""for withdrawing their proposed amendments to the bills"".",Pakistan,7-1-2020,all
Adnan Malik opens up about dealing with severe anxiety after Sadqay Tumhare,It’s been 5 years since Sadqay and about 5 years off and on that I’ve been going to therapy shared the actor.,Pakistan,7-1-2020,all
Nasim Shah likely dropped from U-19 World Cup squad over age controversy,Sources say the Pakistan Cricket Board has initiated an investigation into the young pacer’s age.,Sport,7-1-2020,all
After NA approval services chiefs' bills get Senate committee's nod,"A few opposition parties in Senate oppose bills chanting ""No no""; Prime Minister Imran Khan attends NA session.",Pakistan,7-1-2020,all
SpaceX launches third batch of Starlink satellites,Deployment brings the total number of satellites that are part of the US company's Starlink network to just under 180.,Tech,7-1-2020,all
Pakistan makes it to Forbes list of best under the radar places to visit in 2020,Could this be the year Pakistan sees a surge in international tourists?,Pakistan,8-1-2020,all
What made a good drama in 2019? Here are the top picks,A good drama is defined by solid performances a well-written script relatable characters and entertainment value.,Pakistan,7-1-2020,all
Australian govt pledges $1.4bn for fire-ravaged states sends troops,Twenty-four people have lost their lives so far with over 1800 homes damaged.,Newspaper,7-1-2020,all
Ghosn ‘fled by bullet train’; Japan vows to bolster borders,The 65-year-old executive skipped bail nearly a week ago fleeing Japan where he was awaiting trial.,Newspaper,7-1-2020,all
Unesco urges US Iran to protect cultural sites,The remarks come after President Donald Trump threatened to target Iran’s cultural heritage.,Newspaper,7-1-2020,all
US praises Imran for efforts to defuse tensions with Iran,US official says PM Imran among world leaders who have reached out to the regime in Iran.,Newspaper,7-1-2020,all
Political parties in Pakistan need a better strategy if they are serious about shifting the balance of power,Anger rhetoric and droning on about what the law or Constitution says is not a political strategy; it is laziness.,Pakistan,7-1-2020,all
Elections for Delhi Assembly on Feb 8,The term of the existing Delhi Assembly expires on February 22.,Newspaper,7-1-2020,all
ECC okays amendments to Nepra Act,Amendments required under the IMF programme to recover additional cost of power losses from consumers.,Newspaper,7-1-2020,all
Bloodbath at PSX; index plunges 1027 points,Market opens on chilling note as escalation of hostilities between the US and Iran take hold of  investors’ sentiments.,Newspaper,7-1-2020,all
4pc growth target to be missed: SBP,Bank estimates that the current account deficit will remain low during the ongoing fiscal year.,Newspaper,7-1-2020,all
Ecnec approves Rs261bn development projects,Cost escalation of Tarbela extension caused by currency depreciation increased scope of worth and delayed completion.,Newspaper,7-1-2020,all
Delay in Pak-Iran gas pipeline completion challenged in PHC,Lawyer also requests the court to declare different slabs of gas consumption illegal.,Pakistan,7-1-2020,all
PTI govt completes only one power project in six years KP Assembly told,KP Information Minister Shaukat Ali Yousafzai says work on five hydel power generation projects will be completed soon.,Pakistan,7-1-2020,all
Tourism will be promoted through regional connectivity: minister,Under a new initiative foreign firm issued tourism promotion licence.,Pakistan,7-1-2020,all
SC issues notices in appeal against permission for motorcycles on motorways,Federal govt NHMP have filed appeal against IHC decision that ordered better SOPs for motorcycles on motorway.,Pakistan,7-1-2020,all
Punjab cabinet meets today,The IG Police will brief the cabinet members on the prevailing law and order situation in Punjab.,Pakistan,7-1-2020,all
Nankana incident perpetrator arrested,Section 7 of the Anti-Terrorism Act included in the case registered by police.,Pakistan,7-1-2020,all
Suspects in PM’s nephew robbery case held in 48 hours,Of three dozen robberies thefts reported the same day in Lahore none other solved.,Pakistan,7-1-2020,all
Sugar millers owe over Rs44bn quality premium to cane growers,Growers feel that millers suspended operations on flimsy grounds even though farmers were providing sugar cane to them.,Pakistan,7-1-2020,all
Murad orders hiring of aircraft to eradicate locust swarms in deserts across Sindh,"""We have to kill them before they start breeding else they will cause irreparable losses in the coming season.""",Pakistan,7-1-2020,all
Kidnapped orphan found with adhesive in his eyes in Karachi,Doctors rule out possibility of assault say minor's eyesight did not did not suffer permanent damage.,Pakistan,7-1-2020,all
Cargo traffic suspended as goods transporters go on countrywide strike,Transporters halt cargo supply after their appeals fail to convince authorities to take action regarding their concerns.,Pakistan,7-1-2020,all
Official posters unveiled as Tokyo Olympics near,Of the 20 posters created 12 are based on OIympic themes while eight are inspired by the Paralympics.,Newspaper,7-1-2020,all
Nadal brings Spain closer  to quarters,"""I’m super happy"" he says.",Newspaper,7-1-2020,all
Hamza Khan brings U-15 British Junior Open title back to Pakistan,Israr Ahmed last won the championship for Pakistan in 2012.,Newspaper,7-1-2020,all
Sarfraz believes Pakistan can win U-19 World Cup,He believes the coming World Cup will serve as a stepping stone for the teenaged cricketers in the squad.,Newspaper,7-1-2020,all
SA battling to save Test after Sibley Stokes shine,South Africa will have to score a further 312 runs on the final day to achieve the highest run chase in Test history.,Newspaper,7-1-2020,all
Govt changed accountability law to pre-empt arrest of PM’s aides: Iqbal,"""As per my information NAB was about to issue arrest warrants for two VIPs of the current government"" he claims.",Pakistan,7-1-2020,all
PBC opposes move to extend army chief’s tenure,The Human Rights Commission of Pakistan and AGHS Legal Aid Cell also endorse the PBC’s statement.,Pakistan,7-1-2020,all
IT ministry sets up committee for auction of 5G licences,Jazz Zong are in a race for test trial of mobile phone technology.,Pakistan,7-1-2020,all
SC decision to return petition questioned,On Dec 30 last year Farrukh Nawaz Bhatti had challenged the NAB amended ordinance.,Pakistan,7-1-2020,all
Ministry says more focus be placed on 40 polio-endemic UCs,PM's aide says vaccination to a child within 72 hours of birth being planned.,Pakistan,7-1-2020,all
Pakistan China naval drill kicks off,Deputy Commander of Southern Theatre Command PLA (Navy) Vice Admiral Dong Jun graces the occasion as the chief guest.,Pakistan,7-1-2020,all
NA passes crucial bill to meet FATF requirement,Opposition terms bill against fundamental rights of citizens of Pakistan.,Newspaper,21-2-2020,all
Centre Sindh agree to streamline gas supplies,"""We are shifting towards weighted average cost of gas"" says Nadeem Babar.",Pakistan,7-1-2020,all
Balochistan Senators up in arms over gas shortage,Senators Yousaf Badini Shamim Afridi Kauda Babar Behramand Tangi and Jehanzaib Jamaldini walk out of meeting.,Pakistan,7-1-2020,all
Fighting Ebola and Hindutva,Innocent students shouldn’t be beaten up and then also falsely called anti-national.,Pakistan,7-1-2020,all
Who wants war?,At times such as this there is much talk of how a single miscalculation can lead to war.,Pakistan,7-1-2020,all
PM Imran launches Utility Stores relief package to provide subsidised commodities to masses,Package includes lowering the prices of essential edible items including flour cooking oil rice and pulses.,Pakistan,8-1-2020,all
Facebook eBay crack down on fake reviews at UK request,Facebook removed 188 pages and groups and disabled 24 accounts that were involved in the fake review trade.,Tech,8-1-2020,all
Natasha Baig is all set to release her debut album,'Zarya' is a ten-track album emblematic of Baig's Sufi and rock fusion and will release sometime next week.,Pakistan,8-1-2020,all
Thunderous Haris becomes first Pakistani to bag a hat-trick in Big Bash League,With 13 wickets in the league Haris stands second on the list of highest wicket takers in the BBL so far.,Sport,8-1-2020,all
Senate loses no time in passing tenure bills to meet expedited timeline,The bills now only require presidential assent before becoming law.,Pakistan,8-1-2020,all
Mawra Hocane speaks out about dealing with anxiety to inspire others to find courage,The actor opened up about struggling with mental health issues learning to deal with them and how therapy can help.,Pakistan,8-1-2020,all
Performing with Abida Parveen changed my life says Ali Sethi,How does he feel looking back at it now? “That unlike most of my performances this is as good as it’ll be” he responds,Pakistan,8-1-2020,all
Oil up stocks down after Iran missile attack on US troops,“Investors appear to be pricing for an all-out war” says analyst in a report.,Business,8-1-2020,all
Doctors agree to remove 'controversial' plaque commemorating deaths at PIC,"""The plaque will fan hate for the lawyers' community"" says official.",Pakistan,8-1-2020,all
Highest global tensions this century risk miscalculation: UN chief,UN secretary general says the New Year has begun with the world in turmoil.,Newspaper,8-1-2020,all
Pak Suzuki to shut down production for four days,"The company says that it will observe ""Mondays of current month as NPDs owing to depressed demand"".",Newspaper,8-1-2020,all
PSO dues Wapda loans and Tapi on second ECC meeting agenda,A senior official says the ECC is also expected to constitute a price negotiation committee (PNC) for Tapi project.,Newspaper,8-1-2020,all
Exports fall 4pc in December,The government projects exports during 2019-20 to reach $26.187bn up from $24.656bn the fiscal year before.,Newspaper,8-1-2020,all
Talk of shake-up swirls at FBR,Nausheen Javaid Amjad takes over as acting chairman of the FBR after Shabbar Zaidi applies for a 15-day leave.,Newspaper,8-1-2020,all
Stocks recover 608 points on value-hunting,The index settles at 4190.47 regaining Rs61bn of the market capitalisation lost on Monday.,Newspaper,8-1-2020,all
Trump’s new war cry,Condemning aggression does not mean taking sides. In fact docility raises questions about our independence.,Newspaper,8-1-2020,all
Editorial: A case of exploding egos?,The raid on Maktaba-i-Daniyal is as disturbing as it is baffling.,Pakistan,8-1-2020,all
Europe warns Turkey over intervention in Libya,The foreign ministers of Britain France Germany and Italy call for an end to  “continuing outside interference”.,Newspaper,8-1-2020,all
Court decides to indict Zardari in Park Lane case,Court adjourns further hearing till Jan 22 directs prosecution to ensure the presence of all accused.,Pakistan,8-1-2020,all
UAE royals allowed to hunt rare houbara bustard,Hunters' list includes the UAE president his brothers and another member of the royal family sources say.,Pakistan,8-1-2020,all
Fakhruddin G. Ebrahim: Fearlessness and honesty personified,With Fakhru Bhai passing away Pakistan has lost its proverbial trusted compass.,Pakistan,8-1-2020,all
Force should not be used to send Afghans back home says Senate panel,Committee also seeks details of Afghan refugee camps in Pakistan.,Pakistan,8-1-2020,all
Supreme Court judge questions NAB’s arrest-first policy,Wonders why anti-graft watchdog looks for evidence to complete a reference after sending the suspects to jail.,Newspaper,8-1-2020,all
Four killed in rain-related incidents in Peshawar Kohat,Upper parts of Hazara Malakand receive heavy snowfall.,Pakistan,8-1-2020,all
KP speaker ignores call for BRT forensic audit by assembly panel,Orders inquiry against KMU VC over dual nationality.,Pakistan,8-1-2020,all
PM approves Rs7bn Utility Stores relief package,Package includes lowering the prices of essential edible items such as flour cooking oil rice and pulses.,Pakistan,8-1-2020,all
PTI lawmakers slam non-provision of uplift funds,"""Development funds should be provided to district authorities directly"" says Fawad Chaudhry.",Pakistan,8-1-2020,all
NA body wants regulatory body for testing services,MNA from Upper Dir tells committee that NTS had to cancel the teacher recruitment test twice in his area due to leaks.,Pakistan,8-1-2020,all
Prices of 89 medicines reduced by 15pc,Field teams directed to check prices and take action in case of non-compliance says Drap official.,Pakistan,8-1-2020,all
Snow brings more tourists and problems for rural residents in Murree,Thousands of vehicles have entered the city but there is only parking for a few hundred of them.,Pakistan,8-1-2020,all
BZU teacher dismissed on charges of harassing female student,The proceedings were initiated under the Punjab Employees Efficiency Discipline and Accountability Act of 2016.,Pakistan,8-1-2020,all
LDA to outsource buildings inspection after ranking low in World Bank report,The govt also plans to improve other functions such as provision of electricity connections.,Pakistan,8-1-2020,all
Verdict reserved in graft case against ex-PSM chief,The verdict is likely to be pronounced on January 28.,Pakistan,8-1-2020,all
Sindh cabinet okays plan to involve private sector in revegetating wetlands,CM says the govt allowed trophy hunting not to generate revenue but to manage conserve and protect wildlife.,Pakistan,8-1-2020,all
Another 500 ‘non-compliant’ NGOs in Karachi dissolved to meet FATF condition,The Sindh govt is currently carrying out scrutiny of over 1200 NGOs across the province.,Pakistan,8-1-2020,all
Cold wave likely to persist in Karachi for three days,Overcast conditions will prevail throughout the day with chances of drizzle in the second half of the day.,Pakistan,8-1-2020,all
Major govt hospitals in Sindh running without medicines,Sources say delayed procurement process of medicines is to blame.,Pakistan,8-1-2020,all
Russia Australia Serbia Britain make ATP Cup quarters,Australia will play against Britain for a spot in the final four.,Newspaper,8-1-2020,all
Saini and company lead India to facile T20 win over SL,The third match is on Friday in Pune.,Newspaper,8-1-2020,all
‘Decision on Bangladesh’s Test tour of Pakistan likely this week’,Ehsan Mani calls his BCB counterpart to discuss the prospects of the upcoming Test series.,Newspaper,8-1-2020,all
Stokes-inspired England break SA’s resistance to level series,The series is levelled 1-1 with two matches remaining.,Newspaper,8-1-2020,all
13pc decrease in terrorist attacks observed in 2019: think tank,Annual security review stresses deradicalisation of members of religious outfits.,Pakistan,8-1-2020,all
Pullout rumours persist as US calls Iraq letter ‘mistake’,"""Unsigned letter was shared with the Iraqi military for coordination purposes"" says Gen Mark Milley.",Newspaper,8-1-2020,all
Senate panel okays changes in laws on money laundering forex,Proposed laws have been envisaged to address legal deficiencies pointed out by the FATF.,Newspaper,21-2-2020,all
Father of four commits suicide in Karachi due to ‘joblessness poverty’,The resident of Ibrahim Hyderi self-immolated on Wednesday night.,Pakistan,9-1-2020,all
PM Imran to visit Malaysia next month FM Qureshi tells NA body,"India's introduction of measures such as CAA is part of the ""Hindu Rashtra plan and mindset"" minister tells committee.",Pakistan,9-1-2020,all
Twitter to offer users control over who can reply to tweets,“We'll be experimenting with different options for who can reply to Tweets in early 2020” the company tweeted.,Tech,9-1-2020,all
Buttler fined for angry Philander outburst,The wicketkeeper was heard on the stump mic using an obscenity towards South African all-rounder Philander.,Sport,9-1-2020,all
How Big Tech is helping transform cars into smartphones,After autonomous cars now time for cars to be an office or a roadside cinema.,Tech,9-1-2020,all
Infant dies as incubator catches fire in Karachi children's hospital,Police say initial probe suggests a short-circuit was likely the cause of the fire.,Pakistan,9-1-2020,all
Stocks gain 1166 points as US-Iran war clouds dissipate,"""Trump's off-ramp or conciliatory tone to some extent"" helped created a positive sentiment in the market: analyst.",Business,9-1-2020,all
Serena Williams drops set before reaching Auckland quarters,"""After losing that first set I'm just glad to be still in the event.""",Sport,9-1-2020,all
Canadian solo traveller Rosie Gabrielle converts to Islam after spending time in Pakistan,"""The universe brought me to Pakistan to show me the way"" she wrote on Instagram.",Pakistan,9-1-2020,all
Twitter has termed Prince Harry and Meghan stepping back from the royal family as #Megxit,Genius! Also can we agree that this is going to make an excellent episode of The Crown in the future?,Pakistan,9-1-2020,all
Armeena Khan gets real about overcoming her eating disorder,"""I’m sharing this story not as a victim but as a victor"" revealed the actor.",Pakistan,9-1-2020,all
Council of Islamic Ideology terms certain sections of NAB law 'un-Islamic',"""NAB law is not compatible with Islamic laws on crime and punishment"" says council chairman Dr Qibla Ayaz.",Pakistan,9-1-2020,all
Six new cases of wild polio virus detected across country bringing 2019 tally to 134,Cases detected in Dera Ghazi Khan Lakki Marwat Dera Ismail Khan Jamshoro and Kambar.,Pakistan,9-1-2020,all
Airlines face higher fuel bills as they avoid Iran Iraq amid tensions,Data shows carriers are largely redirecting flights over parts of Saudi Arabia and Egypt.,Business,9-1-2020,all
Detention of missing persons' advocate against the law rules Lahore High Court,Court directs authorities to set advocate Inamur Rahim free.,Pakistan,9-1-2020,all
Every desi celebrity has a signature Instagram pose and we've cracked the code,Now you too can pose like Hania Aamir and Sajal Aly.,Pakistan,9-1-2020,all
Buzdar seeks climate change policy report on environmental issues,Environmental experts and heads of different departments present their proposals at a meeting.,Pakistan,9-1-2020,all
Every claim the govt is making of economic success disintegrates when examined closely,The real story begins when you start adding up the numbers to see how much of an improvement there really is.,Pakistan,9-1-2020,all
Burned tigers rescued kangaroos: Australia bushfire disinformation,Social media is packed with powerful images of Australia’s bushfires — but many are fake.,Newspaper,16-1-2020,all
Stowaway child found dead in plane at Paris airport,The child aged around 10 had clambered into the underbelly of the Air France Boeing 777 in Abidjan Ivory Coast.,Newspaper,9-1-2020,all
Indonesia deploys fighter jets warships to disputed waters in China spat,"""I have said many times Natuna is our sovereign territory"" says Indonesian president.",Newspaper,9-1-2020,all
Turkey and Russia unite to urge Libya ceasefire,Last week Turkey sent its first troops to help defend the UN-backed Tripoli government.,Newspaper,9-1-2020,all
Four killed in car bombing near Somali parliament,Al Shabaab claims the attack.,Newspaper,9-1-2020,all
Maryam’s plea for removal of name from ECL fixed for hearing,The bench comprising Justice Muhammad Tariq Abbasi and Chaudhry Mushtaq Ahmad will take up the petition on Jan 15.,Pakistan,9-1-2020,all
Punjab may face AIDS ‘epidemic’ on failing to procure test kits,Report states province tops with most number of HIV/AIDS cases in country.,Pakistan,9-1-2020,all
IHC reserves judgement on PMDC dissolution through ordinance,IHC Justice Mohsin Akhtar Kayani reserved the decision after additional attorney general concludes arguments.,Pakistan,9-1-2020,all
CM inaugurates work on Rs1.6bn road project in Khyber,Says the provincial government is focusing on developing Peshawar.,Pakistan,9-1-2020,all
KP hopes to bring down polio cases to single digit by June,Official says breakthrough has been made as cleric issues edict calling upon parents to ensure the safety of their kids.,Pakistan,9-1-2020,all
KP lawyers begin indefinite strike against changes to civil drug laws,KP Bar Council says those who fail to boycott courts will face strict action.,Pakistan,9-1-2020,all
Suspected shooter in Saddar attack affiliated with Jamaatul Ahrar: police,FIR registered under 7ATA over shootout between suspect Dolphin Force personnel in Rawalpindi.,Pakistan,9-1-2020,all
Mining firms halt process of handing over compensation cheques to Thar villagers,Officials from mining firms confirm they have been stopped by the govt from going ahead with the compensation process.,Pakistan,9-1-2020,all
54 freshwater turtles rescued in Larkana,The population of freshwater turtles in Sindh and Punjab has dropped by 80pc in recent years due their illegal trade.,Pakistan,9-1-2020,all
Karachi students come out in support of JNU fellows teachers,Students urge Pakistan and India to improve bilateral ties.,Pakistan,9-1-2020,all
Sindh govt will never purchase imported gas Murad tells PA,The constitutional right of the people on natural gas being produced in Sindh should not be violated says the CM.,Pakistan,9-1-2020,all
The drones of war,Never in our history has our country needed strong commanding leadership as today.,Newspaper,9-1-2020,all
Argentina Nadal-led Spain reach ATP Cup last eight,Novak Djokovic’s Serbia take on Canada on Friday while Spain are pitted against Belgium.,Newspaper,9-1-2020,all
Martic first big name to fall in Auckland,Serena Williams and Caroline Wozniacki play together for the first time in their careers.,Newspaper,9-1-2020,all
International Olympic Committee to discuss Russian athletes after CAS decision,No date has yet been set for a Court of Arbitration for Sport ruling on Russia.,Newspaper,9-1-2020,all
Lewis left stranded on 99 as WI ease to ODI win,After dismissing Ireland for just 180 the West Indies reach their target with 100 balls to spare.,Newspaper,9-1-2020,all
Miandad Intikhab express reservations over ICC’s plan of  four-day Tests,Former captains say the ICC should explain the reasons that have forced them to consider such a decision.,Newspaper,9-1-2020,all
Players unlikely to embrace four-day Tests: FICA,The International Cricket Council (ICC) is set to discuss the idea of trimming the current five-day Tests by a day.,Newspaper,9-1-2020,all
Stocks tumble 547 points on geopolitical noise,Investors heave a sigh of relief as the Senate passes bills concerning the tenure of services chiefs.,Newspaper,9-1-2020,all
World Bank revises Pakistan's growth projections downward,Adds that macroeconomic adjustment in the country is expected to continue.,Newspaper,9-1-2020,all
EU-UK deal unlikely by year end,Head of the European Commission say both sides must pick their priorities.,Newspaper,9-1-2020,all
Fresh roadblock for Tapi as Pakistan seeks gas price cut,India is also reported to have separately written to the Turkmen authorities for a price reduction.,Newspaper,9-1-2020,all
Opposition govt agree to legislate on NAB powers,"Fawad Chaudhry says it is a ""good sign"" that they are sitting together to resolve pending issues.",Pakistan,9-1-2020,all
16 private bills introduced in National Assembly,PTI’s Fakhar Imam chairs the sitting in absence of speaker deputy speaker.,Pakistan,9-1-2020,all
NAB recovers Rs2.2bn in some Modaraba references,Several cases are still pending in different accountability courts.,Pakistan,9-1-2020,all
Sea Guardians drill expected to boost security cooperation with China,Commodore Nawaz says Pakistan is a responsible state cognisant of its role and significance.,Pakistan,9-1-2020,all
SC concerned over delay in completion of NAB cases,Bureau asked to furnish a report highlighting reasons behind the delay in trials.,Pakistan,9-1-2020,all
Pakistan now has to import food regrets minister,"""Being an agriculture country there is a need to improve the performance of the farm sector"" says Khusro Bakhtiar.",Newspaper,9-1-2020,all
LHC takes up Musharraf’s pleas today,A special court of Islamabad handed down the death penalty to Gen Musharraf with a two to one majority.,Pakistan,9-1-2020,all
Modi cancels Assam visit as protests continue,According to reports Modi was advised not to visit the state.,Newspaper,9-1-2020,all
Wording of services chiefs bills sparks controversy,Minister PPP leader say word ‘may’ is always considered ‘shall’ in constitutional documents.,Newspaper,9-1-2020,all
Gas shortfall set to almost double next year,Cabinet panel informed that due to lack of exploration during the past 10 years gas production has declined by 7pc.,Newspaper,9-1-2020,all
BISP takes action against officers who got govt help meant for poor,According to official data the highest number of government officials receiving the BISP assistance was from Sindh.,Pakistan,9-1-2020,all
Future of mobility: some wild rides seen ahead at tech show,With bold and striking designs the new transportation gadgetry suggests a wild ride ahead.,Tech,10-1-2020,all
Blast inside Quetta mosque claims 15 lives injures 19,DIG confirms the deceased include DSP Amanullah; police say the incident was a suicide bombing.,Pakistan,10-1-2020,all
3 children crushed to death in Sindh's Nagarparkar as school wall falls on them,The children were playing near the wall when it collapsed.,Pakistan,10-1-2020,all
'Pakistan is one of the safest places at the moment' Chris Gayle says in Bangladesh,"""They say you get presidential security so you're in good hands"" says the West Indian cricketer.",Sport,10-1-2020,all
'Making Pakistan a welfare state': PM Imran inaugurates Azakhel dry port in Nowshera,The Rs510 million Azakhel dry port project will promote business trade in Khyber Pakhtunkhwa says railways minister.,Pakistan,10-1-2020,all
Pakistan to witness first lunar eclipse of 2020 tonight,The eclipse will start at 10:07pm take full form at 12:07am and end at 2.12am.,Pakistan,10-1-2020,all
For some reason Ahmed Ali Butt has an opinion about Megxit,"Meghan Markle and Prince Harry announced that the two will be ""stepping back"" as senior members of the royal family.",Pakistan,11-1-2020,all
No record of cabinet's approval over filing of treason case against Musharraf LHC told,"""This was history's most important matter; can the cabinet discuss it without it being an agenda item?"" asks bench.",Pakistan,13-1-2020,all
14 eateries not to be missed at Karachi Eat 2020,And everything else you need to know about your favourite food fest.,Pakistan,11-1-2020,all
Hell and ice water: Glacier melt threatens Pakistan's future,Ice and debris are pushing down on valleys in the Karakoram mountain range at ten times the normal rate.,Pakistan,10-1-2020,all
Tayyaba torture case: Supreme Court sets aside increased sentence of former judge wife,The apex court maintains earlier one-year prison sentence against the couple for torturing a minor maid.,Pakistan,10-1-2020,all
Maraheb's winter menu will satisfy all your seafood cravings,Here are our top five picks from the restaurant's seasonal menu.,Pakistan,10-1-2020,all
Passage of the tenure bills led to the usual exercise of fake surprise over an inevitable development,The whole political class in the country is exposed to the torrents let loose on the enemies of empowered civilian rule.,Pakistan,10-1-2020,all
SC judge takes up plea against former CJP Mian Saqib Nisar,Petitioners appeal to the court to determine which behaviour of a judge falls within the definition of misconduct.,Pakistan,10-1-2020,all
PM inaugurates Azakhel dry port today,Minister says one or two new trains on Peshawar-Karachi route planned.,Pakistan,10-1-2020,all
Panel formed by CCI suggests hydel profit payments under Kazi formula,KP’s Rs128.6bn annual payment claim endorsed by committee.,Pakistan,10-1-2020,all
Judge’s video case transferred to ATC,The FIA's Counter Terrorism Wing had filed an application seeking the transfer of the case.,Pakistan,10-1-2020,all
Power tariff for tubewells in Islamabad to be revised National Assembly told,Energy minister assures the assembly that the tariff will be revised by April to give relief to residents.,Pakistan,10-1-2020,all
Sikh girl tells court she married of her own free will,Girl's brother claims that his sister is under pressure and needed more time to make a final decision.,Pakistan,10-1-2020,all
WHO extends travel restrictions amid polio resurgence in Pakistan,Organisation says there is an urgent need to overhaul the entire leadership and strategy of the anti-polio programme.,Pakistan,10-1-2020,all
SHC issues notices to federal authorities on plea against petroleum price hike,The petition was filed by the Pasban Democratic Party through its president.,Pakistan,10-1-2020,all
HIV drug resistance an emerging threat expert warns,A potentially life-threatening disease HIV/AIDS has reached alarming proportions in the country.,Pakistan,10-1-2020,all
Rauf Siddiqui seven other accused record statements in Baldia factory fire case,Defendants given questionnaires each containing some 380 queries to answer.,Pakistan,10-1-2020,all
China believes new virus behind mystery pneumonia outbreak,The World Health Organisation has confirmed the preliminary discovery of a new coronavirus in a statement.,Newspaper,27-1-2020,all
British lawmakers finally approve historic Brexit deal,House of Commons erupts in cheers after MPs ratified PM Boris Johnson’s divorce deal with Brussels 330 votes to 231.,Newspaper,10-1-2020,all
Bushfires flare again in southern Australia,Soldiers go door-to-door advising residents to leave after a large blaze bears down on South Australian town.,Newspaper,10-1-2020,all
Australia Russia storm into semi-finals,Russia spearheaded by world number five Daniil Medvedev win both their singles to sweep past Argentina.,Newspaper,10-1-2020,all
Stokes bats for Test cricket as debate rages over format,The latest proposal an effort to tackle the crowded international cricket calendar has divided players.,Newspaper,10-1-2020,all
Finch upbeat as Australia head to India,The two sides face each other in Mumbai on Jan 14.,Newspaper,10-1-2020,all
Rohail vows to lead from the front in U-19 World Cup,"""I wish to play to my true potential and lead from the front to help Pakistan win the World Cup"" he says.",Newspaper,10-1-2020,all
Keep politics out of 2020 Tokyo Games urges IOC chief,"""The mission of the Olympics is to unite and not to divide"" says Thomas Bach.",Newspaper,10-1-2020,all
China’s Liu to sign trade deal in US next week,The signing will cap a nearly two-year spat that threatened to throttle the global economy.,Newspaper,10-1-2020,all
World Bank sees uptick in global growth but warns of trade risks,In an updated economic outlook the World Bank forecasts the global economy will grow 2.5 per cent this year.,Newspaper,10-1-2020,all
Tractor sales plunge 40pc,Tractor sales plunge to 15200 units during the first half year of 2019-20 from 38000 in the same period last year.,Newspaper,10-1-2020,all
Talks resume between FBR and traders,Wide-ranging agreements being hammered out; traders to help locate new tax filers.,Newspaper,10-1-2020,all
Suspects start seeking relief after NAB law change,Documents show one dozen accused have filed applications before the Islamabad accountability court seeking acquittals.,Pakistan,10-1-2020,all
Treasury opposition resume blame game in National Assembly,Govt's claim about economic achievements the gas shortage and Nankana Sahib incident among the key issues discussed.,Pakistan,10-1-2020,all
PAC chief clears all objections on defence purchases without scrutiny,The leniency shown by newly elected PAC Chairman Rana Tanvir perturbs party members.,Pakistan,10-1-2020,all
PM orders overhauling of public diplomacy information policy,Strategic communications division to be set up for effective projection of national narrative abroad.,Pakistan,10-1-2020,all
US Iran draw back from brink but threats show crisis not over,US President Donald Trump's critics accuse him of recklessness in his handling of Iran.,Newspaper,10-1-2020,all
ECP summons Bilawal over disparity in assets details,PPP chairman's spokesperson says the notice has not yet been received.,Newspaper,10-1-2020,all
Pakistan moves US court to stop over $6bn fine in Reko Diq case,Says enforcing the fine would negate the loan received from the International Monetary Fund last year.,Newspaper,10-1-2020,all
Royals rocked as Harry Meghan ‘defy Queen’ in quitting roles,Reports suggest couple went against clear instructions from queen not to go public about future plans at this time.,Newspaper,10-1-2020,all
Pakistan peace mission still relevant: Foreign Office,"""Pakistan is an important player in the current situation. It is important for us to contribute towards ensuring peace.""",Newspaper,10-1-2020,all
Pakistan not to take part in anyone else’s war: PM,"""Pakistan has paid a high price in the past by becoming a part of the war on terror"" says Imran.",Newspaper,10-1-2020,all
