Story Heading,Story Excerpt,Section,Date,Source
NAB files reference against Ahsan Iqbal,The reference has been filed in connection with the Narowal Sports City project.,Pakistan,19-11-2020,dawn
Stakeholders up in arms as social media rules notified,Internet Service Providers of Pakistan has rejected the rules and the association is likely to move the court against them.,Pakistan,19-11-2020,dawn
Stakeholders up in arms as social media rules notified,Internet Service Providers of Pakistan has rejected the rules and the association is likely to move the court against them.,Pakistan,19-11-2020,dawn
UAE suspends visit visas for Pakistan 11 other countries,FO says decision not applicable to visas already issued,Pakistan,19-11-2020,dawn
UAE suspends visit visas for Pakistan 11 other countries,FO says decision not applicable to visas already issued,Pakistan,19-11-2020,dawn
Strategy in the works to create wealth jobs says PM,Asks industrialists to invest without hesitation improve workers’ wages; says automation at FBR to stop human interaction.,Pakistan,19-11-2020,dawn
Strategy in the works to create wealth jobs says PM,Asks industrialists to invest without hesitation improve workers’ wages; says automation at FBR to stop human interaction.,Pakistan,19-11-2020,dawn
Probe blames PIA engineers for 2016 crash,Investigation report reveals the aircraft had three “technical anomalies” for which the airline’s engineers were responsible.,Pakistan,20-11-2020,dawn
Probe blames PIA engineers for 2016 crash,Investigation report reveals the aircraft had three “technical anomalies” for which the airline’s engineers were responsible.,Pakistan,20-11-2020,dawn
No let-up in virus surge as 2500 new infections reported,Balochistan is the only province that does not have any patient on a ventilator.,Pakistan,20-11-2020,dawn
No let-up in virus surge as 2500 new infections reported,Balochistan is the only province that does not have any patient on a ventilator.,Pakistan,20-11-2020,dawn
Bilawal hits out at govt as five GB independents join PTI,Says PTI govt will be sent packing by January 2021.,Pakistan,20-11-2020,dawn
Bilawal hits out at govt as five GB independents join PTI,Says PTI govt will be sent packing by January 2021.,Pakistan,20-11-2020,dawn
Current account stays surplus for fourth consecutive month,• SBP data shows CA was surplus with $382m in October against $59m in September • Hafeez says govt will continue efforts for,Pakistan,20-11-2020,dawn
Current account stays surplus for fourth consecutive month,• SBP data shows CA was surplus with $382m in October against $59m in September • Hafeez says govt will continue efforts for,Pakistan,20-11-2020,dawn
PM assures Kabul of help to end bloodshed,• Document on shared vision for peace issued • Accord on forming bodies to pursue security peace-related matters • Ghani terms,Pakistan,20-11-2020,dawn
PM assures Kabul of help to end bloodshed,• Document on shared vision for peace issued • Accord on forming bodies to pursue security peace-related matters • Ghani terms,Pakistan,20-11-2020,dawn
Govt plans unbundling of several public entities,PM’s aide Dr Ishrat Husain says govt will not need to borrow money if it is able to harness the true potential of tax collection.,Pakistan,21-11-2020,dawn
Govt plans unbundling of several public entities,PM’s aide Dr Ishrat Husain says govt will not need to borrow money if it is able to harness the true potential of tax collection.,Pakistan,21-11-2020,dawn
Rs19.7 billion set aside for PSM staff retrenchment,The package for the retrenchment of 9000 employees was given the go-ahead in August.,Pakistan,21-11-2020,dawn
Rs19.7 billion set aside for PSM staff retrenchment,The package for the retrenchment of 9000 employees was given the go-ahead in August.,Pakistan,21-11-2020,dawn
Drop in Afghanistan violence to benefit tribal areas: PM,Imran says his Kabul visit shows Pakistan’s commitment to peace,Pakistan,21-11-2020,dawn
Drop in Afghanistan violence to benefit tribal areas: PM,Imran says his Kabul visit shows Pakistan’s commitment to peace,Pakistan,21-11-2020,dawn
War of words erupts after govt refuses permission for PDM rally,PPP's Dr Nafeesa Shah claims the govt is trying to hide behind the coronavirus pandemic.,Pakistan,21-11-2020,dawn
War of words erupts after govt refuses permission for PDM rally,PPP's Dr Nafeesa Shah claims the govt is trying to hide behind the coronavirus pandemic.,Pakistan,21-11-2020,dawn
China backs Pakistan after Modi’s tirade,"Beijing says it appreciates Pakistan's ""positive contributions"" to the international counter-terrorism cause.",Pakistan,21-11-2020,dawn
China backs Pakistan after Modi’s tirade,"Beijing says it appreciates Pakistan's ""positive contributions"" to the international counter-terrorism cause.",Pakistan,21-11-2020,dawn
Imran-Nawaz battle puts UK in tight spot,All eyes on British Home Office.,Pakistan,22-11-2020,dawn
Imran-Nawaz battle puts UK in tight spot,All eyes on British Home Office.,Pakistan,22-11-2020,dawn
Khadim Rizvi signs off with a flourish,Maulana Rizvi buried in the com­pound of his Multan Road mosque where he was a pra­yer leader.,Pakistan,22-11-2020,dawn
Khadim Rizvi signs off with a flourish,Maulana Rizvi buried in the com­pound of his Multan Road mosque where he was a pra­yer leader.,Pakistan,22-11-2020,dawn
Asad asks Sindh govt to use Rs700bn allocated for Karachi,Says Green Line project likely to be completed by the middle of next year.,Pakistan,22-11-2020,dawn
Asad asks Sindh govt to use Rs700bn allocated for Karachi,Says Green Line project likely to be completed by the middle of next year.,Pakistan,22-11-2020,dawn
Erdogan Saudi king agree to improve relations,Two leaders talk by phone on eve of G20 summit hosted by the kingdom,Pakistan,22-11-2020,dawn
Erdogan Saudi king agree to improve relations,Two leaders talk by phone on eve of G20 summit hosted by the kingdom,Pakistan,22-11-2020,dawn
Govt PDM row over Peshawar rally amid pandemic,Opposition terms the government more dangerous than the pandemic; JI also announces to hold already scheduled rally in Swat.,Pakistan,22-11-2020,dawn
Govt PDM row over Peshawar rally amid pandemic,Opposition terms the government more dangerous than the pandemic; JI also announces to hold already scheduled rally in Swat.,Pakistan,22-11-2020,dawn
US gives go-ahead to Covid antibody therapy,G20 nations push for global access to anti-coronavirus vaccines.,Pakistan,23-11-2020,dawn
US gives go-ahead to Covid antibody therapy,G20 nations push for global access to anti-coronavirus vaccines.,Pakistan,23-11-2020,dawn
Sharifs’ mother passes away in London,Fayyaz Chohan says both Shehbaz and Hamza will be released on parole a day before the arrival of the body.,Pakistan,23-11-2020,dawn
Sharifs’ mother passes away in London,Fayyaz Chohan says both Shehbaz and Hamza will be released on parole a day before the arrival of the body.,Pakistan,23-11-2020,dawn
Imran warns of total lockdown if rallies continue,Premier says there was a 200pc increase in the number of patients on ventilators in Peshawar and Multan during the last 15 days.,Pakistan,23-11-2020,dawn
Imran warns of total lockdown if rallies continue,Premier says there was a 200pc increase in the number of patients on ventilators in Peshawar and Multan during the last 15 days.,Pakistan,23-11-2020,dawn
Diplomatic spat with France averted as minister deletes tweet,ISLAMABAD: A possible diplomatic row between Pak­istan and France was ave­rted when federal Mini­ster for Human...,Pakistan,23-11-2020,dawn
Diplomatic spat with France averted as minister deletes tweet,ISLAMABAD: A possible diplomatic row between Pak­istan and France was ave­rted when federal Mini­ster for Human...,Pakistan,23-11-2020,dawn
‘Puppet rule’ must come to an end says PDM,Fazl asks establishment to stop backing ‘illegitimate’ govt.,Pakistan,23-11-2020,dawn
‘Puppet rule’ must come to an end says PDM,Fazl asks establishment to stop backing ‘illegitimate’ govt.,Pakistan,23-11-2020,dawn
Riyadh denies Israeli PM met Saudi crown prince,Israeli minister slams ‘irresponsible leak of secret flight to Saudi Arabia’,Pakistan,24-11-2020,dawn
Riyadh denies Israeli PM met Saudi crown prince,Israeli minister slams ‘irresponsible leak of secret flight to Saudi Arabia’,Pakistan,24-11-2020,dawn
Govt to save Rs300bn in electricity costs in three years: minister,Asad Umar says committee has been constituted to manage mark-up payments on circular debt.,Pakistan,24-11-2020,dawn
Govt to save Rs300bn in electricity costs in three years: minister,Asad Umar says committee has been constituted to manage mark-up payments on circular debt.,Pakistan,24-11-2020,dawn
Imran’s lawyer made PTV chairman,According to a notification from the information ministry he will hold office for three years.,Pakistan,24-11-2020,dawn
Imran’s lawyer made PTV chairman,According to a notification from the information ministry he will hold office for three years.,Pakistan,24-11-2020,dawn
Covid compels govt to shut educational institutions again,ISLAMABAD: Due to the renewed surge in Covid-19 cases the federal government ...,Pakistan,24-11-2020,dawn
Covid compels govt to shut educational institutions again,ISLAMABAD: Due to the renewed surge in Covid-19 cases the federal government ...,Pakistan,24-11-2020,dawn
PM okays creation of liaison body for spy agencies,ISI chief to head new organisation; absence of such a committee was seen as a hurdle to collective strategising.,Pakistan,24-11-2020,dawn
PM okays creation of liaison body for spy agencies,ISI chief to head new organisation; absence of such a committee was seen as a hurdle to collective strategising.,Pakistan,24-11-2020,dawn
Top brass vows to thwart misadventure by India,Pakistan urges world to act on its dossier presented with evidence of New Delhi’s sponsorship of terrorism,Pakistan,25-11-2020,dawn
Top brass vows to thwart misadventure by India,Pakistan urges world to act on its dossier presented with evidence of New Delhi’s sponsorship of terrorism,Pakistan,25-11-2020,dawn
Mandviwala’s 3.1m shares frozen NAB tells court,"Senator Mandviwalla ""outright rejects this mode of media trial and intimidation campaign by the NAB authorities"".",Pakistan,25-11-2020,dawn
Mandviwala’s 3.1m shares frozen NAB tells court,"Senator Mandviwalla ""outright rejects this mode of media trial and intimidation campaign by the NAB authorities"".",Pakistan,25-11-2020,dawn
Cabinet approves anti-rape laws providing for harsh punishments,Proposed ordinances change definition of rape allow chemical castration hanging of convicts.,Pakistan,25-11-2020,dawn
Cabinet approves anti-rape laws providing for harsh punishments,Proposed ordinances change definition of rape allow chemical castration hanging of convicts.,Pakistan,25-11-2020,dawn
Secretary illegally working as acting CAA DG: IHC,Court observes aviation minister's statement on floor of the National Assembly was not correct.,Pakistan,25-11-2020,dawn
Secretary illegally working as acting CAA DG: IHC,Court observes aviation minister's statement on floor of the National Assembly was not correct.,Pakistan,25-11-2020,dawn
Asad says Covid stats worsening seeks SOPs compliance,Previously daily death toll was just six to eight but it has risen to 48 now according to PM’s aide.,Pakistan,25-11-2020,dawn
Asad says Covid stats worsening seeks SOPs compliance,Previously daily death toll was just six to eight but it has risen to 48 now according to PM’s aide.,Pakistan,25-11-2020,dawn
PM rules out shutdown of factories businesses,Asks nation to join hands with government to defeat second wave of coronavirus.,Pakistan,26-11-2020,dawn
PM rules out shutdown of factories businesses,Asks nation to join hands with government to defeat second wave of coronavirus.,Pakistan,26-11-2020,dawn
Dossier on India’s terrorism shared with UN,Guterres promises Pakistan’s envoy ‘appropriate action’,Pakistan,26-11-2020,dawn
Dossier on India’s terrorism shared with UN,Guterres promises Pakistan’s envoy ‘appropriate action’,Pakistan,26-11-2020,dawn
Shuffle in top brass as six major generals promoted,ISLAMABAD: Chief of the Army Staff Gen Qamar Javed Bajwa kept his core team intact as he reshuffled several key...,Pakistan,26-11-2020,dawn
Shuffle in top brass as six major generals promoted,ISLAMABAD: Chief of the Army Staff Gen Qamar Javed Bajwa kept his core team intact as he reshuffled several key...,Pakistan,26-11-2020,dawn
UAE visa suspension linked to ‘security concerns’,DUBAI: The United Arab Emirates has stopped issuing new visas to citizens of 13 mostly Muslim-majority countries...,Pakistan,26-11-2020,dawn
UAE visa suspension linked to ‘security concerns’,DUBAI: The United Arab Emirates has stopped issuing new visas to citizens of 13 mostly Muslim-majority countries...,Pakistan,26-11-2020,dawn
Govt hints at increasing power gas tariff in phases,PM aide says circular debt has risen; no gas shortage in the country.,Pakistan,26-11-2020,dawn
Govt hints at increasing power gas tariff in phases,PM aide says circular debt has risen; no gas shortage in the country.,Pakistan,26-11-2020,dawn
Law proposes rapist’s castration with consent,The concept of chemical castration has been introduced mainly as a form of rehabilitation and subject to consent of the convict.,Pakistan,27-11-2020,dawn
Law proposes rapist’s castration with consent,The concept of chemical castration has been introduced mainly as a form of rehabilitation and subject to consent of the convict.,Pakistan,27-11-2020,dawn
Three members of Shehbaz’s family declared absconder,His son Suleman dau­ghter Rabia Imran and son-in-law Haroon Yousaf declared absconders for avoiding court appearances.,Pakistan,27-11-2020,dawn
Three members of Shehbaz’s family declared absconder,His son Suleman dau­ghter Rabia Imran and son-in-law Haroon Yousaf declared absconders for avoiding court appearances.,Pakistan,27-11-2020,dawn
Pakistan sees over 3000 virus cases for second day,The positivity rate has been recorded at over 7 per cent.,Pakistan,27-11-2020,dawn
Pakistan sees over 3000 virus cases for second day,The positivity rate has been recorded at over 7 per cent.,Pakistan,27-11-2020,dawn
Kashmir issue is permanent item on OIC agenda: FO,Spokesman says any change in UAE visa policy is yet to be confirmed.,Pakistan,27-11-2020,dawn
Kashmir issue is permanent item on OIC agenda: FO,Spokesman says any change in UAE visa policy is yet to be confirmed.,Pakistan,27-11-2020,dawn
More than 100 projects planned for Karachi PM told,Over Rs1.1 trillion will be spent on the projects under the Karachi Transformation Plan.,Pakistan,27-11-2020,dawn
More than 100 projects planned for Karachi PM told,Over Rs1.1 trillion will be spent on the projects under the Karachi Transformation Plan.,Pakistan,27-11-2020,dawn
No let-up in Covid cases amid second wave,Pemra has directed electronic media to telecast data given by health professionals.,Pakistan,28-11-2020,dawn
No let-up in Covid cases amid second wave,Pemra has directed electronic media to telecast data given by health professionals.,Pakistan,28-11-2020,dawn
Top post at aviation regulator finally filled,Retired Flight Lieutenant Khaqan Murtaza has been appointed as the director general of the Civil Aviation Authority.,Pakistan,28-11-2020,dawn
Top post at aviation regulator finally filled,Retired Flight Lieutenant Khaqan Murtaza has been appointed as the director general of the Civil Aviation Authority.,Pakistan,28-11-2020,dawn
PM rules out further permission for PDM rallies,"“The coronavirus is spreading dangerously therefore the opposition should postpone PDM public meetings"" he says.",Pakistan,28-11-2020,dawn
PM rules out further permission for PDM rallies,"“The coronavirus is spreading dangerously therefore the opposition should postpone PDM public meetings"" he says.",Pakistan,28-11-2020,dawn
Afghan leadership urged to seize opportunity of peace dialogue,FM Qureshi speaks to Afghan counterpart on the sidelines of the OIC Council of Foreign Ministers meeting.,Pakistan,28-11-2020,dawn
Afghan leadership urged to seize opportunity of peace dialogue,FM Qureshi speaks to Afghan counterpart on the sidelines of the OIC Council of Foreign Ministers meeting.,Pakistan,28-11-2020,dawn
Virus surge restrictions threaten economic recovery,Fiscal deficit broadens by nearly 70pc says finance ministry’s outlook report.,Pakistan,28-11-2020,dawn
Virus surge restrictions threaten economic recovery,Fiscal deficit broadens by nearly 70pc says finance ministry’s outlook report.,Pakistan,28-11-2020,dawn
OIC asks India to rescind illegal acts in occupied Kashmir,Body also adopts a Pakistan-sponsored resolution urging the UNSG to initiate a global dialogue to counter rising Islamophobia.,Pakistan,29-11-2020,dawn
OIC asks India to rescind illegal acts in occupied Kashmir,Body also adopts a Pakistan-sponsored resolution urging the UNSG to initiate a global dialogue to counter rising Islamophobia.,Pakistan,29-11-2020,dawn
Positivity rate comes down slightly as 48223 tests conducted,PML-N Senator Kalsoom Parveen who was earlier admitted to a private hospital has been put on a ventilator.,Pakistan,29-11-2020,dawn
Positivity rate comes down slightly as 48223 tests conducted,PML-N Senator Kalsoom Parveen who was earlier admitted to a private hospital has been put on a ventilator.,Pakistan,29-11-2020,dawn
PPP workers cross hurdles to enter Multan stadium,PDM public meeting to be held at all cost says ex-prime minister Gilani.,Pakistan,29-11-2020,dawn
PPP workers cross hurdles to enter Multan stadium,PDM public meeting to be held at all cost says ex-prime minister Gilani.,Pakistan,29-11-2020,dawn
Army never put pressure over foreign policy appointments: PM,Says Punjab govt running on ‘trial & error basis’; anyone can move NAB against Asim Bajwa.,Pakistan,29-11-2020,dawn
Army never put pressure over foreign policy appointments: PM,Says Punjab govt running on ‘trial & error basis’; anyone can move NAB against Asim Bajwa.,Pakistan,29-11-2020,dawn
Rouhani accuses Israel of scientist’s killing,TEHRAN: Iran’s Presi­dent Hassan Rouhani on Sat­urday accused arch-foe Isr­ael of acting as a “mercenary”...,Pakistan,29-11-2020,dawn
Rouhani accuses Israel of scientist’s killing,TEHRAN: Iran’s Presi­dent Hassan Rouhani on Sat­urday accused arch-foe Isr­ael of acting as a “mercenary”...,Pakistan,29-11-2020,dawn
Minister justifies move to sack PSM workers,ISLAMABAD: Amid str­ong reaction from Pakis­tan Peoples Party (PPP) over the Centre’s decision...,Pakistan,29-11-2020,dawn
Minister justifies move to sack PSM workers,ISLAMABAD: Amid str­ong reaction from Pakis­tan Peoples Party (PPP) over the Centre’s decision...,Pakistan,29-11-2020,dawn
Decades of zoo joy end as Kaavan flies to Cambodia,Lonely elephant was sedated before being shifted into a special cage.,Pakistan,30-11-2020,dawn
Decades of zoo joy end as Kaavan flies to Cambodia,Lonely elephant was sedated before being shifted into a special cage.,Pakistan,30-11-2020,dawn
Bureau halts action after Mandviwala heaps scorn on NAB,"The deputy chairman Senate says he will ""highlight NAB’s human rights violations at every international forum"".",Pakistan,30-11-2020,dawn
Bureau halts action after Mandviwala heaps scorn on NAB,"The deputy chairman Senate says he will ""highlight NAB’s human rights violations at every international forum"".",Pakistan,30-11-2020,dawn
30 Afghan security personnel killed in suicide attack,GHAZNI: A suicide car bomber struck an army base in Afghanistan on Sunday killing at least 30 security personnel...,Pakistan,30-11-2020,dawn
30 Afghan security personnel killed in suicide attack,GHAZNI: A suicide car bomber struck an army base in Afghanistan on Sunday killing at least 30 security personnel...,Pakistan,30-11-2020,dawn
PDM govt head for showdown as police get rally venue vacated,• Crackdown on activists in south Punjab cities • PPP’s Qasim Gilani shifted to Multan jail • Opposition leaders determined to,Pakistan,30-11-2020,dawn
PDM govt head for showdown as police get rally venue vacated,• Crackdown on activists in south Punjab cities • PPP’s Qasim Gilani shifted to Multan jail • Opposition leaders determined to,Pakistan,30-11-2020,dawn
Opposition main hurdle to tackling virus spread says Imran,Reiterates opposition leaders only want concession have no concern for people’s lives.,Pakistan,30-11-2020,dawn
Opposition main hurdle to tackling virus spread says Imran,Reiterates opposition leaders only want concession have no concern for people’s lives.,Pakistan,30-11-2020,dawn
13 burnt alive in van-bus collision,Fire caused by LPG cylinders in van blamed for tragedy near Narang Mandi,Pakistan,1-12-2020,dawn
13 burnt alive in van-bus collision,Fire caused by LPG cylinders in van blamed for tragedy near Narang Mandi,Pakistan,1-12-2020,dawn
PIA’s German ex-boss booked for illegal appointment,“The illegal appointment caused a loss of $50203 (equivalent to Rs5256254) to national exchequer” says FIR.,Pakistan,1-12-2020,dawn
PIA’s German ex-boss booked for illegal appointment,“The illegal appointment caused a loss of $50203 (equivalent to Rs5256254) to national exchequer” says FIR.,Pakistan,1-12-2020,dawn
PTI’s Khalid elected chief minister of GB,PPP's Amjad Hussain elected leader of the opposition vows to continue to resist every anti-people move of the government.,Pakistan,1-12-2020,dawn
PTI’s Khalid elected chief minister of GB,PPP's Amjad Hussain elected leader of the opposition vows to continue to resist every anti-people move of the government.,Pakistan,1-12-2020,dawn
PDM holds Multan rally against all odds,• Aseefa makes political debut • Maryam assails ‘two selectors’,Pakistan,1-12-2020,dawn
PDM holds Multan rally against all odds,• Aseefa makes political debut • Maryam assails ‘two selectors’,Pakistan,1-12-2020,dawn
PM orders special body to oversee border management,Sees illegal money transfer as the main reason for poverty; welcomes foreign firms’ interest in tourism.,Pakistan,1-12-2020,dawn
PM orders special body to oversee border management,Sees illegal money transfer as the main reason for poverty; welcomes foreign firms’ interest in tourism.,Pakistan,1-12-2020,dawn
Ishaq Dar grilled in BBC interview about his assets,Ex-finance minister demands fresh elections supremacy of law,Pakistan,2-12-2020,dawn
Ishaq Dar grilled in BBC interview about his assets,Ex-finance minister demands fresh elections supremacy of law,Pakistan,2-12-2020,dawn
PM wants action against opposition leaders over rallies,"""Action will be taken against those who instigate the public to violate health guidelines"" says Shibli Faraz.",Pakistan,2-12-2020,dawn
PM wants action against opposition leaders over rallies,"""Action will be taken against those who instigate the public to violate health guidelines"" says Shibli Faraz.",Pakistan,2-12-2020,dawn
India raises issue of another spy’s detention,The IHC has sought a report from the attorney general by the next hearing on January 14.,Pakistan,2-12-2020,dawn
India raises issue of another spy’s detention,The IHC has sought a report from the attorney general by the next hearing on January 14.,Pakistan,2-12-2020,dawn
Islamabad Beijing vow to boost defence cooperation,Chinese Defence Minister Gen Wei Fenghe holds meetings with civilian leadership.,Pakistan,2-12-2020,dawn
Islamabad Beijing vow to boost defence cooperation,Chinese Defence Minister Gen Wei Fenghe holds meetings with civilian leadership.,Pakistan,2-12-2020,dawn
Govt to get vaccine in first quarter of 2021,• Cabinet approves $150m committee for procurement • Decides group-wise administration • Golden handshake for PSM employees,Pakistan,2-12-2020,dawn
Govt to get vaccine in first quarter of 2021,• Cabinet approves $150m committee for procurement • Decides group-wise administration • Golden handshake for PSM employees,Pakistan,2-12-2020,dawn
UK becomes first nation to roll out Covid vaccine,Inoculation work to start next week; Italy and Japan promise free vaccinations,Pakistan,3-12-2020,dawn
UK becomes first nation to roll out Covid vaccine,Inoculation work to start next week; Italy and Japan promise free vaccinations,Pakistan,3-12-2020,dawn
Former PM Zafarullah Jamali passes away,RAWALPINDI: Former prime minister Mir Zafarullah Khan Jamali passed away here on Wednesday night.,Pakistan,3-12-2020,dawn
Former PM Zafarullah Jamali passes away,RAWALPINDI: Former prime minister Mir Zafarullah Khan Jamali passed away here on Wednesday night.,Pakistan,3-12-2020,dawn
Rules okayed to improve bureaucracy performance,Under the new rules an inquiry against government officials will have to be decided within 90 days.,Pakistan,3-12-2020,dawn
Rules okayed to improve bureaucracy performance,Under the new rules an inquiry against government officials will have to be decided within 90 days.,Pakistan,3-12-2020,dawn
IHC declares Nawaz proclaimed offender in two cases,Summons guarantors on Dec 9 for proceedings to attach properties pledged as bail bonds,Pakistan,3-12-2020,dawn
IHC declares Nawaz proclaimed offender in two cases,Summons guarantors on Dec 9 for proceedings to attach properties pledged as bail bonds,Pakistan,3-12-2020,dawn
Imran slams PDM rallies amid spike in Covid cases,The prime minister has approved two new national parks in Gilgit-Baltistan.,Pakistan,3-12-2020,dawn
Imran slams PDM rallies amid spike in Covid cases,The prime minister has approved two new national parks in Gilgit-Baltistan.,Pakistan,3-12-2020,dawn
Hasina calls for strengthening ties with Pakistan,Pakistan’s envoy meets Bangladeshi premier in Dhaka.,Pakistan,4-12-2020,dawn
Hasina calls for strengthening ties with Pakistan,Pakistan’s envoy meets Bangladeshi premier in Dhaka.,Pakistan,4-12-2020,dawn
Sample size of vaccine trial nearly doubled,The target of vaccinating 10000 volunteers has been enhanced to 18000.,Pakistan,4-12-2020,dawn
Sample size of vaccine trial nearly doubled,The target of vaccinating 10000 volunteers has been enhanced to 18000.,Pakistan,4-12-2020,dawn
Work on Ravi urban project has started PM told,The premier has directed officials to fix timelines for completing the project.,Pakistan,4-12-2020,dawn
Work on Ravi urban project has started PM told,The premier has directed officials to fix timelines for completing the project.,Pakistan,4-12-2020,dawn
SC alarm over 90-day detention of accused in NAB cases,Justice Bandial describes accountability law provision as cruel and unjust.,Pakistan,4-12-2020,dawn
SC alarm over 90-day detention of accused in NAB cases,Justice Bandial describes accountability law provision as cruel and unjust.,Pakistan,4-12-2020,dawn
European Union retains ban on PIA flights,Spokesperson says national flag carrier has been working hard to comply with EASA observations.,Pakistan,4-12-2020,dawn
European Union retains ban on PIA flights,Spokesperson says national flag carrier has been working hard to comply with EASA observations.,Pakistan,4-12-2020,dawn
Corrupt officials to be axed not transferred: PM,Asks people to use Citizen Portal for lodging complaints.,Pakistan,5-12-2020,dawn
Corrupt officials to be axed not transferred: PM,Asks people to use Citizen Portal for lodging complaints.,Pakistan,5-12-2020,dawn
Covid kills 55 in a day as toll hits 8260,ISLAMABAD: In a rare phenomenon amid the ren­ewed wave of coronavirus number of active cases in the country ...,Pakistan,5-12-2020,dawn
Covid kills 55 in a day as toll hits 8260,ISLAMABAD: In a rare phenomenon amid the ren­ewed wave of coronavirus number of active cases in the country ...,Pakistan,5-12-2020,dawn
FO chides India for doubting own lawyer in spy’s case,Engaging counsel for Ismail but not for Jadhav shows ‘discrepancy’ in Delhi’s stance says attorney general.,Pakistan,5-12-2020,dawn
FO chides India for doubting own lawyer in spy’s case,Engaging counsel for Ismail but not for Jadhav shows ‘discrepancy’ in Delhi’s stance says attorney general.,Pakistan,5-12-2020,dawn
10 Pattoki judges stop work in protest against bar ‘abuse’,"Say authorities have taken ""no action"" against alleged misbehaviour and abusive conduct of bar leader.",Pakistan,5-12-2020,dawn
10 Pattoki judges stop work in protest against bar ‘abuse’,"Say authorities have taken ""no action"" against alleged misbehaviour and abusive conduct of bar leader.",Pakistan,5-12-2020,dawn
IHC chief justice questions new social media rules,Advises PTA not to follow countries like India where fundamental rights and freedom are being restricted,Pakistan,5-12-2020,dawn
IHC chief justice questions new social media rules,Advises PTA not to follow countries like India where fundamental rights and freedom are being restricted,Pakistan,5-12-2020,dawn
PDM heads meet on 8th to finalise long march plan,Moving a no-confidence motion against Buzdar also under consideration.,Pakistan,6-12-2020,dawn
PDM heads meet on 8th to finalise long march plan,Moving a no-confidence motion against Buzdar also under consideration.,Pakistan,6-12-2020,dawn
Veteran politician Mazari passes away,KARACHI: Veteran politician Sardar Sherbaz Khan Mazari passed away here on Saturday his family said. He was 90.,Pakistan,6-12-2020,dawn
Veteran politician Mazari passes away,KARACHI: Veteran politician Sardar Sherbaz Khan Mazari passed away here on Saturday his family said. He was 90.,Pakistan,6-12-2020,dawn
Virgin Atlantic to begin flight operation to Pakistan on Dec 13,The airliner will use Airbus A-332 aircraft to continue a weekly eight-flight operation to Lahore and Islamabad.,Pakistan,6-12-2020,dawn
Virgin Atlantic to begin flight operation to Pakistan on Dec 13,The airliner will use Airbus A-332 aircraft to continue a weekly eight-flight operation to Lahore and Islamabad.,Pakistan,6-12-2020,dawn
PM warns of action against leaders facilitators of rallies,• Declares he will quit but won’t give NRO • Links independent foreign policy to loan-free economy • Says the greatest asset of,Pakistan,6-12-2020,dawn
PM warns of action against leaders facilitators of rallies,• Declares he will quit but won’t give NRO • Links independent foreign policy to loan-free economy • Says the greatest asset of,Pakistan,6-12-2020,dawn
Abbottabad records highest positivity ratio,Pakistan finalises prerequisites for vaccine request.,Pakistan,6-12-2020,dawn
Abbottabad records highest positivity ratio,Pakistan finalises prerequisites for vaccine request.,Pakistan,6-12-2020,dawn
Mandviwala vows to get NAB blacklisted internationally,Anti-graft watchdog asks accusers to prove charges in 14 days or face action.,Pakistan,7-12-2020,dawn
Mandviwala vows to get NAB blacklisted internationally,Anti-graft watchdog asks accusers to prove charges in 14 days or face action.,Pakistan,7-12-2020,dawn
Saudi prince harangues Israel over treatment of Palestinians,DUBAI: A prominent Saudi prince harshly criticised Israel on Sunday at a Bahrain security summit that was remotely...,Pakistan,7-12-2020,dawn
Saudi prince harangues Israel over treatment of Palestinians,DUBAI: A prominent Saudi prince harshly criticised Israel on Sunday at a Bahrain security summit that was remotely...,Pakistan,7-12-2020,dawn
ADB programme suffered from govt slackness in last five years,Evaluation department cites lack of political backing to reforms.,Pakistan,7-12-2020,dawn
ADB programme suffered from govt slackness in last five years,Evaluation department cites lack of political backing to reforms.,Pakistan,7-12-2020,dawn
Six Covid patients die in Peshawar for want of oxygen,Many shifted to different hospitals as vendor failed to arrive on time; CM seeks report as Khyber hospital orders inquiry.,Pakistan,7-12-2020,dawn
Six Covid patients die in Peshawar for want of oxygen,Many shifted to different hospitals as vendor failed to arrive on time; CM seeks report as Khyber hospital orders inquiry.,Pakistan,7-12-2020,dawn
Consensus in PDM on resignations: PML-N leader,Kaira says PPP leadership will take final decision.,Pakistan,8-12-2020,dawn
Consensus in PDM on resignations: PML-N leader,Kaira says PPP leadership will take final decision.,Pakistan,8-12-2020,dawn
Two sisters straying into held Kashmir repatriated,MUZAFFARABAD: Two teenage sisters from a poor family of Azad Jammu and Kashmir (AJK) who had strayed into ...,Pakistan,8-12-2020,dawn
Two sisters straying into held Kashmir repatriated,MUZAFFARABAD: Two teenage sisters from a poor family of Azad Jammu and Kashmir (AJK) who had strayed into ...,Pakistan,8-12-2020,dawn
Strategy soon to check drug abuse among youth: PM,Premier says will not any relief to opposition leaders in their corruption cases even if his government is wrapped up.,Pakistan,8-12-2020,dawn
Strategy soon to check drug abuse among youth: PM,Premier says will not any relief to opposition leaders in their corruption cases even if his government is wrapped up.,Pakistan,8-12-2020,dawn
Second wave worsens as positivity ratio nears 10pc,ISLAMABAD: The number of new Covid-19 cases in the country was recorded at 3795 on Monday ...,Pakistan,8-12-2020,dawn
Second wave worsens as positivity ratio nears 10pc,ISLAMABAD: The number of new Covid-19 cases in the country was recorded at 3795 on Monday ...,Pakistan,8-12-2020,dawn
